Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31
0,0,0,0,0,0,0,0,1,8,36,10,12,58,77,108,118,125,161,224,331,384,380,340,314,413,459,373,362,315,57
0,0,0,0,0,0,0,0,1,22,62,253,328,559,593,644,834,778,1114,793,954,901,1006,1096,1057,1011,877,803,671,602,34
0,0,0,0,0,0,0,0,0,3,16,58,114,59,58,50,61,70,76,114,136,234,252,290,423,625,697,732,801,854,231
0,0,0,0,0,0,0,0,3,0,4,4,13,24,37,51,93,109,135,181,191,327,544,556,457,550,574,524,383,291,32
0,0,0,0,0,0,1,0,0,1,11,16,21,33,73,101,198,354,524,791,781,720,589,532,385,234,180,168,140,136,27
0,0,0,0,0,0,0,0,2,6,11,45,86,149,298,385,408,447,492,378,368,330,319,295,395,433,480,507,370,132,6
0,0,0,0,0,0,3,2,78,176,234,426,810,1631,2563,2999,4165,5135,5739,5456,5633,5405,5248,4741,5151,4881,6060,5968,5362,5010,807
0,0,0,0,0,0,1,0,2,12,18,114,84,76,78,98,146,175,307,373,485,748,1098,1532,1802,1691,1867,1865,1975,1932,379
0,0,0,0,0,0,0,0,1,1,1,4,1,8,10,6,17,32,42,46,67,82,121,147,157,239,308,407,335,398,94
0,0,0,0,0,0,0,0,3,3,3,5,4,6,29,38,41,59,101,185,265,341,402,499,457,449,496,500,540,473,149
0,0,0,0,0,0,0,0,1,21,27,19,33,74,79,103,203,278,371,726,1117,1238,1954,2172,2437,2781,3088,3049,2997,2378,377
0,0,0,0,0,0,0,0,2,9,14,14,45,73,99,177,283,369,759,720,801,863,797,877,1700,901,999,1174,1111,999,97
0,0,0,0,0,0,1,0,0,9,15,27,19,46,118,172,227,379,477,492,461,516,482,482,525,516,673,829,786,904,151
0,0,0,0,0,0,0,0,12,53,40,38,39,60,114,137,194,277,392,810,1188,1320,1244,1241,1210,1307,1619,1532,1402,1497,208
0,0,0,0,0,0,1,3,26,57,165,288,518,1082,1715,2043,2547,3407,3837,4366,4875,5041,4653,3883,4156,3679,3584,3754,3160,2641,324
0,0,0,0,0,0,0,0,0,9,13,20,32,71,130,170,243,476,456,634,834,1024,1175,962,766,714,813,1019,1126,1099,41
0,0,0,0,0,0,0,0,1,4,8,18,34,62,181,249,322,327,311,340,329,372,319,233,221,199,239,231,270,224,47
0,0,0,0,0,0,0,0,0,2,6,7,12,22,24,70,99,101,124,175,200,259,268,343,359,382,403,450,373,390,70
1,0,0,0,0,0,0,0,17,41,25,17,57,86,65,154,218,310,276,466,628,1224,1387,1862,2301,2929,3270,3266,1760,2187,511
0,0,0,0,0,0,0,0,2,3,12,16,17,37,53,88,159,426,556,674,990,1024,1080,1092,1227,1185,903,975,812,651,77
0,0,0,0,0,0,0,0,9,32,68,100,102,149,212,276,320,559,899,1023,1132,1643,2527,2394,1864,1871,2325,2261,1890,1631,312
0,0,0,0,0,0,0,0,7,8,16,14,20,32,36,52,99,247,261,233,267,269,272,256,303,396,465,431,389,432,155
0,0,0,0,0,0,0,0,7,18,48,96,138,191,245,289,211,208,258,265,273,322,453,628,855,979,928,915,833,714,180
0,0,0,0,0,0,0,0,2,17,10,14,20,14,25,82,140,186,227,281,415,512,598,731,841,1299,2124,2348,1864,1668,61
0,0,1,0,0,0,0,0,1,5,40,96,159,270,367,378,417,532,746,1093,1216,1387,1140,1111,1009,994,967,760,838,650,40
0,0,0,0,0,0,0,0,0,5,20,19,61,85,89,171,357,561,1009,1496,1543,1648,1842,2136,2280,2341,1361,1006,840,730,25
0,0,0,0,0,0,0,0,0,8,35,77,92,290,432,394,536,741,849,1176,1117,1826,1847,1717,2271,2218,2631,2581,2324,1632,392
0,0,0,0,0,0,0,0,0,4,8,34,44,131,185,220,260,304,434,609,677,1054,1536,2116,2485,2492,2706,2362,1573,1018,29
0,0,0,0,0,0,0,0,0,0,5,8,40,35,86,100,128,215,281,280,330,343,357,436,525,449,503,479,471,322,77
0,0,0,0,0,0,0,0,0,16,15,33,59,158,273,441,668,962,1055,1200,1287,1319,1735,1909,2230,2406,2688,2629,2172,1590,79
0,0,0,0,0,0,0,0,1,20,31,39,60,103,166,244,249,315,379,336,303,460,682,989,1008,1068,1152,1395,1693,1190,274
0,0,0,0,0,0,0,0,0,3,7,2,8,20,31,44,45,47,49,62,98,156,151,162,283,316,415,522,544,649,242
