nombre,poblacion
OAXACA,4143593
NAYARIT,1288571
SINALOA,3156674
SONORA,3074745
CHIHUAHUA,3801487
COAHUILA,3218720
QUERETARO,2279637
GUANAJUATO,6228175
VERACRUZ,8539862
TAMAULIPAS,3650602
BAJA CALIFORNIA,3634868
PUEBLA,6604451
YUCATAN,2259098
NUEVO LEON,5610153
DURANGO,1868996
SAN LUIS POTOSI,2866142
JALISCO,8409693
QUINTANA ROO,1723259
MEXICO,17427790
AGUASCALIENTES,1434635
TLAXCALA,1380011
MICHOACAN,4825401
HIDALGO,3086414
TABASCO,2572287
CHIAPAS,5730367
CAMPECHE,1000617
COLIMA,785153
BAJA CALIFORNIA SUR,804708
DISTRITO FEDERAL,9018645
GUERRERO,3657048
MORELOS,2044058
ZACATECAS,1666426
